atp,location,tournament,date,series,court,surface,round,bestof,winner,loser,anho
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Dzumhur D.,Dodig I.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Mayer F.,Youzhny M.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Gasquet R.,Davydenko N.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Janowicz J.,Andujar P.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrer D.,Mannarino A.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Chardy J.,Dolgopolov O.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Robredo T.,Benneteau J.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Mayer L.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Istomin D.,Tursunov D.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Roger-Vasselin E.,Garcia-Lopez G.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Querrey S.,Gulbis E.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Anderson K.,Thiem D.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Fognini F.,Nieminen J.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Wawrinka S.,Falla A.,2014
