series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Nedovyesov A.,95,115,561,475,6,3,1,0,,,,,,,1,0,2015
ATP250,Indoor,Hard,1st Round,3,Albot R.,Troicki V.,107,24,498,1499,6,2,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,1st Round,3,Kukushkin M.,Ramanathan R.,48,218,922,229,6,2,6,2,,,,,,,2,0,2015
ATP250,Indoor,Hard,1st Round,3,Chardy J.,Zverev A.,26,78,1435,652,3,6,6,3,6,2,,,,,2,1,2015
ATP250,Indoor,Hard,1st Round,3,Ito T.,Nieminen J.,116,135,469,411,6,2,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,1st Round,3,Stepanek R.,Sugita Y.,278,131,167,425,7,6,6,0,,,,,,,2,0,2015
ATP250,Indoor,Hard,1st Round,3,Pospisil V.,Uchiyama Y.,44,226,995,214,6,3,6,4,,,,,,,2,0,2015
ATP250,Indoor,Hard,1st Round,3,Baghdatis M.,Almagro N.,51,76,895,668,6,3,6,7,6,1,,,,,2,1,2015
ATP250,Indoor,Hard,1st Round,3,Zverev M.,Ram R.,248,93,191,579,7,6,3,6,6,3,,,,,2,1,2015
ATP250,Indoor,Hard,1st Round,3,Sousa J.,Przysiezny M.,47,159,951,340,6,2,6,2,,,,,,,2,0,2015
ATP250,Indoor,Hard,2nd Round,3,Becker B.,Chardy J.,74,26,675,1435,5,7,6,1,7,5,,,,,2,1,2015
ATP250,Indoor,Hard,2nd Round,3,Karlovic I.,Basilashvili N.,18,95,1620,561,7,5,4,6,6,3,,,,,2,1,2015
ATP250,Indoor,Hard,2nd Round,3,Kyrgios N.,Ito T.,41,116,1035,469,6,3,6,2,,,,,,,2,0,2015
ATP250,Indoor,Hard,2nd Round,3,Pospisil V.,Baghdatis M.,44,51,995,895,7,6,3,6,6,3,,,,,2,1,2015
ATP250,Indoor,Hard,2nd Round,3,Lopez F.,Zverev M.,17,248,1935,191,6,3,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,2nd Round,3,Kukushkin M.,Albot R.,48,107,922,498,6,3,6,2,,,,,,,2,0,2015
ATP250,Indoor,Hard,2nd Round,3,Dimitrov G.,Sousa J.,19,47,1600,951,2,6,6,3,6,4,,,,,2,1,2015
ATP250,Indoor,Hard,2nd Round,3,Ferrer D.,Stepanek R.,8,278,3695,167,7,5,6,3,,,,,,,2,0,2015
ATP250,Indoor,Hard,Quarterfinals,3,Kyrgios N.,Karlovic I.,41,18,1035,1620,7,6,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,Quarterfinals,3,Lopez F.,Pospisil V.,17,44,1935,995,6,7,6,3,6,2,,,,,2,1,2015
ATP250,Indoor,Hard,Quarterfinals,3,Becker B.,Dimitrov G.,74,19,675,1600,6,4,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,Quarterfinals,3,Ferrer D.,Kukushkin M.,8,48,3695,922,6,3,6,4,,,,,,,2,0,2015
ATP250,Indoor,Hard,Semifinals,3,Lopez F.,Kyrgios N.,17,41,1935,1035,7,6,7,6,,,,,,,2,0,2015
ATP250,Indoor,Hard,Semifinals,3,Ferrer D.,Becker B.,8,74,3695,675,3,6,6,2,6,4,,,,,2,1,2015
ATP250,Indoor,Hard,The Final,3,Ferrer D.,Lopez F.,8,17,3695,1935,7,5,7,5,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Krajicek A.,Duckworth J.,128,97,430,546,5,7,7,6,6,1,,,,,2,1,2015
ATP250,Outdoor,Hard,1st Round,3,Millman J.,Gulbis E.,75,81,671,620,7,6,2,0,,,,,,,1,0,2015
ATP250,Outdoor,Hard,1st Round,3,Rosol L.,Istomin D.,80,60,622,780,7,6,6,4,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,Pouille L.,39,69,1050,715,6,0,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Chung H.,Wu D.,58,224,801,216,6,1,6,0,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Bai Y.,Niki T.,266,340,176,132,6,1,7,5,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Zhang Ze,40,216,1042,230,6,3,6,2,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Moriya H.,Berankis R.,219,72,227,685,6,4,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Zhang Zh.,Soeda G.,583,118,53,461,6,4,6,4,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Estrella Burgos V.,Ebden M.,66,133,745,418,4,6,7,6,6,4,,,,,2,1,2015
ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Haider-Maurer A.,62,64,775,760,6,2,7,6,,,,,,,2,0,2015
ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Youzhny M.,55,91,817,581,6,3,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Vesely J.,Zhang Zh.,40,583,1042,53,6,2,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Bolelli S.,Estrella Burgos V.,62,66,775,745,6,0,4,0,,,,,,,1,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Krajicek A.,5,128,5050,430,7,5,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Robredo T.,Moriya H.,30,219,1210,227,7,5,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Mannarino A.,Bai Y.,39,266,1050,176,7,5,7,6,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Rosol L.,29,80,1280,622,6,4,6,3,,,,,,,2,0,2015
ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Millman J.,14,75,2270,671,6,3,4,6,6,3,,,,,2,1,2015
ATP250,Outdoor,Hard,2nd Round,3,Chung H.,Bedene A.,58,55,801,817,6,2,6,0,,,,,,,2,0,2015
ATP250,Outdoor,Hard,Quarterfinals,3,Robredo T.,Bolelli S.,30,62,1210,775,1,6,6,2,6,4,,,,,2,1,2015
ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Vesely J.,5,40,5050,1042,6,3,6,2,,,,,,,2,0,2015
ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Chung H.,14,58,2270,801,7,6,6,4,,,,,,,2,0,2015
ATP250,Outdoor,Hard,Quarterfinals,3,Garcia-Lopez G.,Mannarino A.,29,39,1280,1050,,,,,,,,,,,,,2015
ATP250,Outdoor,Hard,Semifinals,3,Berdych T.,Robredo T.,5,30,5050,1210,6,1,6,4,,,,,,,2,0,2015
ATP250,Outdoor,Hard,Semifinals,3,Garcia-Lopez G.,Cilic M.,29,14,1280,2270,1,6,7,5,6,3,,,,,2,1,2015
ATP250,Outdoor,Hard,The Final,3,Berdych T.,Garcia-Lopez G.,5,29,5050,1280,6,3,7,6,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Haider-Maurer A.,Tsonga J.W.,64,16,760,1990,7,6,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Goffin D.,Seppi A.,17,25,1970,1440,6,2,6,3,,,,,,,2,0,2015
